,throughput,new_flow,new_flow_normalized
881,0.01248,0.2,0.0178571429
882,0,0,0
883,0.072,1.8,0.1607142857
884,0.09472,0.6,0.0535714286
885,0.03136,0.6,0.0535714286
886,0.01184,0.2,0.0178571429
887,0.0224,0.4,0.0357142857
888,0.00992,0.8,0.0714285714
889,0.04544,0.8,0.0714285714
890,0.0416,0.8,0.0714285714
891,0.17856,3.2,0.2857142857
892,0.07776,1.4,0.125
893,0.05216,1,0.0892857143
894,0.0816,1.4,0.125
895,0.1472,2.4,0.2142857143
896,0.06656,2.2,0.1964285714
897,0.11552,0.2,0.0178571429
898,0.01184,0.4,0.0357142857
899,0.02176,1.4,0.125
900,0.07712,1.4,0.125
901,0.09568,0.6,0.0535714286
902,0.0336,0.8,0.0714285714
903,0.04544,0.4,0.0357142857
904,0.02176,0.4,0.0357142857
905,0.0224,0.4,0.0357142857
906,0.0848,1.2,0.1071428571
